address|text|name
0040814c|環境を書き換えました|TH_CUSTOM_CONFIG_WRITTEN
00408164|確認|TH_CUSTOM_CONFIRM
0040816c|ファイルが吐き出せません\n書き込み禁止属性かついていませんか？|TH_CUSTOM_ERR_FILE_WRITE
004081b8|右 |TH_CUSTOM_PAD_RIGHT
004081bc|左 |TH_CUSTOM_PAD_LEFT
004081c0|下 |TH_CUSTOM_PAD_DOWN
004081c4|上 |TH_CUSTOM_PAD_UP
